GO biological process complete,FDR
cellular component organization (GO:0016043),0.00639
regulation of defense response to insect (GO:2000068),0.00666
DNA repair (GO:0006281),0.00676
response to reactive oxygen species (GO:0000302),0.00685
oxylipin biosynthetic process (GO:0031408),0.0073
primary metabolic process (GO:0044238),0.00736
membraneless organelle assembly (GO:0140694),0.00859
protein metabolic process (GO:0019538),0.00928
lipid metabolic process (GO:0006629),0.0109
oxylipin metabolic process (GO:0031407),0.0118
lipid biosynthetic process (GO:0008610),0.0119
regulation of primary metabolic process (GO:0080090),0.0119
killing of cells of another organism (GO:0031640),0.0127
disruption of anatomical structure in another organism (GO:0141060),0.0128
disruption of cell in another organism (GO:0141061),0.013
cell killing (GO:0001906),0.0131
response to ATP (GO:0033198),0.0151
"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)",0.0152
chromosome segregation (GO:0007059),0.0153
mitotic cell cycle process (GO:1903047),0.0162
regulation of biosynthetic process (GO:0009889),0.0176
response to ozone (GO:0010193),0.018
RNA modification (GO:0009451),0.0181
proteolysis (GO:0006508),0.0212
supramolecular fiber organization (GO:0097435),0.0219
organelle assembly (GO:0070925),0.022
positive regulation of leaf senescence (GO:1900057),0.0225
chromatin remodeling (GO:0006338),0.0231
intracellular signal transduction (GO:0035556),0.024
regulation of gene expression (GO:0010468),0.0243
response to nutrient levels (GO:0031667),0.0262
cellular response to starvation (GO:0009267),0.0289
regulation of macromolecule biosynthetic process (GO:0010556),0.029
response to organophosphorus (GO:0046683),0.0291
DNA metabolic process (GO:0006259),0.0295
sulfur compound metabolic process (GO:0006790),0.0357
regulation of metabolic process (GO:0019222),0.0397
multicellular organismal reproductive process (GO:0048609),0.04
response to red light (GO:0010114),0.0419
cellular response to nutrient levels (GO:0031669),0.0438
metabolic process (GO:0008152),0.0442
positive regulation of defense response (GO:0031349),0.0493
