




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	Client Text Box Input (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	Client Text Box Input (2981)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
protein ubiquitination (GO:0016567)	727	125	78.88	+	1.58	1.71E-07	1.33E-05
response to cold (GO:0009409)	444	76	48.17	+	1.58	5.73E-05	2.80E-03
response to nutrient levels (GO:0031667)	287	49	31.14	+	1.57	1.51E-03	4.82E-02
intracellular signal transduction (GO:0035556)	683	114	74.10	+	1.54	2.69E-06	1.62E-04
protein modification by small protein conjugation (GO:0032446)	763	126	82.78	+	1.52	1.53E-06	9.78E-05
cellular response to stress (GO:0033554)	1349	220	146.36	+	1.50	4.72E-10	6.57E-08
response to auxin (GO:0009733)	482	78	52.30	+	1.49	3.63E-04	1.35E-02
protein modification by small protein conjugation or removal (GO:0070647)	840	129	91.14	+	1.42	4.70E-05	2.36E-03
response to stress (GO:0006950)	4250	651	461.12	+	1.41	1.80E-22	8.89E-20
signal transduction (GO:0007165)	2192	334	237.83	+	1.40	4.90E-11	7.59E-09
signaling (GO:0023052)	2232	340	242.17	+	1.40	3.41E-11	5.61E-09
cellular response to stimulus (GO:0051716)	3583	545	388.75	+	1.40	6.88E-18	2.33E-15
post-translational protein modification (GO:0043687)	849	129	92.12	+	1.40	8.24E-05	3.82E-03
cell communication (GO:0007154)	2264	341	245.64	+	1.39	1.20E-10	1.80E-08
response to biotic stimulus (GO:0009607)	1656	249	179.67	+	1.39	6.78E-08	5.83E-06
response to temperature stimulus (GO:0009266)	733	110	79.53	+	1.38	4.61E-04	1.70E-02
response to external biotic stimulus (GO:0043207)	1653	247	179.35	+	1.38	1.31E-07	1.04E-05
response to other organism (GO:0051707)	1653	247	179.35	+	1.38	1.31E-07	1.03E-05
response to external stimulus (GO:0009605)	1904	284	206.58	+	1.37	1.44E-08	1.53E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1668	247	180.98	+	1.36	2.85E-07	2.01E-05
positive regulation of biological process (GO:0048518)	1338	198	145.17	+	1.36	5.03E-06	2.93E-04
response to stimulus (GO:0050896)	6896	1018	748.21	+	1.36	1.22E-31	3.30E-28
regulation of RNA biosynthetic process (GO:2001141)	2379	350	258.12	+	1.36	1.15E-09	1.45E-07
regulation of DNA-templated transcription (GO:0006355)	2379	350	258.12	+	1.36	1.15E-09	1.42E-07
protein modification process (GO:0036211)	1055	153	114.47	+	1.34	1.81E-04	7.57E-03
regulation of RNA metabolic process (GO:0051252)	2509	362	272.22	+	1.33	6.39E-09	7.37E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2609	371	283.07	+	1.31	2.09E-08	2.03E-06
defense response (GO:0006952)	1824	252	197.90	+	1.27	4.21E-05	2.16E-03
negative regulation of biological process (GO:0048519)	1250	171	135.62	+	1.26	1.31E-03	4.28E-02
regulation of primary metabolic process (GO:0080090)	2969	406	322.13	+	1.26	3.42E-07	2.26E-05
biological regulation (GO:0065007)	6318	857	685.49	+	1.25	1.23E-14	3.50E-12
regulation of biological process (GO:0050789)	6061	821	657.61	+	1.25	7.78E-14	1.76E-11
regulation of cellular process (GO:0050794)	5596	755	607.16	+	1.24	3.71E-12	6.93E-10
regulation of macromolecule biosynthetic process (GO:0010556)	3005	400	326.04	+	1.23	7.46E-06	4.26E-04
regulation of biosynthetic process (GO:0009889)	3134	417	340.03	+	1.23	4.62E-06	2.72E-04
regulation of gene expression (GO:0010468)	2969	395	322.13	+	1.23	8.95E-06	5.06E-04
regulation of macromolecule metabolic process (GO:0060255)	3179	417	344.92	+	1.21	1.88E-05	1.00E-03
regulation of metabolic process (GO:0019222)	3458	451	375.19	+	1.20	1.48E-05	8.26E-04
Unclassified (UNCLASSIFIED)	5082	648	551.39	+	1.18	2.30E-06	1.40E-04
biological_process (GO:0008150)	22393	2333	2429.61	-	.96	2.30E-06	1.41E-04
macromolecule metabolic process (GO:0043170)	5217	461	566.04	-	.81	1.18E-07	9.69E-06
biosynthetic process (GO:0009058)	4308	368	467.41	-	.79	5.90E-08	5.24E-06
nucleobase-containing compound biosynthetic process (GO:0034654)	1618	113	175.55	-	.64	6.20E-08	5.43E-06
RNA metabolic process (GO:0016070)	1634	111	177.29	-	.63	1.06E-08	1.17E-06
nucleobase-containing compound metabolic process (GO:0006139)	2566	174	278.41	-	.62	2.33E-13	4.86E-11
RNA biosynthetic process (GO:0032774)	1308	88	141.92	-	.62	2.39E-07	1.75E-05
macromolecule biosynthetic process (GO:0009059)	2629	174	285.24	-	.61	9.31E-15	2.81E-12
cell cycle (GO:0007049)	510	33	55.33	-	.60	9.00E-04	3.05E-02
nucleic acid biosynthetic process (GO:0141187)	1394	90	151.25	-	.60	1.03E-08	1.16E-06
nucleic acid metabolic process (GO:0090304)	2150	138	233.27	-	.59	3.04E-13	6.11E-11
cell cycle process (GO:0022402)	454	27	49.26	-	.55	3.34E-04	1.28E-02
gene expression (GO:0010467)	2213	131	240.11	-	.55	8.99E-17	2.87E-14
RNA processing (GO:0006396)	999	59	108.39	-	.54	4.53E-08	4.09E-06
DNA metabolic process (GO:0006259)	560	30	60.76	-	.49	5.29E-06	3.05E-04
DNA damage response (GO:0006974)	419	21	45.46	-	.46	3.36E-05	1.75E-03
DNA repair (GO:0006281)	374	18	40.58	-	.44	5.08E-05	2.50E-03
methylation (GO:0032259)	357	17	38.73	-	.44	7.03E-05	3.34E-03
RNA modification (GO:0009451)	389	18	42.21	-	.43	1.67E-05	9.13E-04
mitotic cell cycle (GO:0000278)	238	10	25.82	-	.39	3.33E-04	1.29E-02
ribonucleoprotein complex biogenesis (GO:0022613)	469	19	50.89	-	.37	1.20E-07	9.71E-06
chromosome organization (GO:0051276)	180	7	19.53	-	.36	1.08E-03	3.59E-02
ribosome biogenesis (GO:0042254)	371	12	40.25	-	.30	8.11E-08	6.77E-06
translation (GO:0006412)	619	18	67.16	-	.27	1.63E-13	3.55E-11
rRNA metabolic process (GO:0016072)	298	8	32.33	-	.25	1.74E-07	1.33E-05
rRNA processing (GO:0006364)	278	7	30.16	-	.23	2.88E-07	2.00E-05
tRNA metabolic process (GO:0006399)	213	5	23.11	-	.22	4.17E-06	2.48E-04
DNA replication (GO:0006260)	141	3	15.30	-	.20	1.85E-04	7.65E-03
cell killing (GO:0001906)	291	6	31.57	-	.19	1.95E-08	2.03E-06
disruption of cell in another organism (GO:0141061)	291	6	31.57	-	.19	1.95E-08	1.99E-06
disruption of anatomical structure in another organism (GO:0141060)	291	6	31.57	-	.19	1.95E-08	1.95E-06
killing of cells of another organism (GO:0031640)	291	6	31.57	-	.19	1.95E-08	1.92E-06
DNA-templated DNA replication (GO:0006261)	89	1	9.66	-	.10	8.75E-04	2.98E-02
cytoplasmic translation (GO:0002181)	102	1	11.07	-	.09	1.78E-04	7.48E-03
tRNA aminoacylation (GO:0043039)	60	0	6.51	-	 < 0.01	1.51E-03	4.87E-02
amino acid activation (GO:0043038)	61	0	6.62	-	 < 0.01	1.51E-03	4.84E-02
RNA methylation (GO:0001510)	76	0	8.25	-	 < 0.01	2.88E-04	1.14E-02
ribosomal small subunit biogenesis (GO:0042274)	83	0	9.01	-	 < 0.01	1.25E-04	5.41E-03
macromolecule methylation (GO:0043414)	77	0	8.35	-	 < 0.01	2.98E-04	1.16E-02
